encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,1,0.2219,0.5591,0.6942
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,2,0.1845,0.6126,0.7383
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,3,0.1809,0.5861,0.7121
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,4,0.1769,0.6202,0.7428
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,5,0.1668,0.5482,0.6724
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,6,0.1648,0.6704,0.785
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,7,0.1554,0.6475,0.7545
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,8,0.1475,0.6652,0.7735
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,9,0.1323,0.6432,0.7518
resnet50,unet_resnet50,96,adamw,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,10,0.1205,0.683,0.7948
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,1,0.2045,0.6112,0.7333
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,2,0.1655,0.6944,0.7976
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,3,0.1605,0.6604,0.7792
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,4,0.1491,0.6821,0.7951
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,5,0.1486,0.6229,0.7522
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,6,0.1531,0.5394,0.6762
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,7,0.1447,0.6897,0.7969
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,8,0.1257,0.7022,0.7999
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,9,0.1148,0.698,0.8072
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,10,0.1037,0.7268,0.825
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,1,0.21,0.4663,0.5812
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,2,0.1676,0.6608,0.7744
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,3,0.1555,0.6352,0.7546
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,4,0.1424,0.5542,0.6947
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,5,0.1339,0.6961,0.8064
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,6,0.1322,0.6294,0.7513
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,7,0.1338,0.6965,0.8004
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,8,0.1322,0.7185,0.8203
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,9,0.1117,0.7348,0.8329
resnet50,unet_resnet50,96,adamw,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,10,0.0995,0.7591,0.8509
